Plot,Position,Species,Moisture,RootDryMass(g),Root depth(cm),Length(cm),SurfArea(cm2),AvgDiam(mm),RootVolume(cm3),Tips,Forks,SRL(cm/g),SRA(cm2/g),RTD(g/cm3),SRTA (tips/g),Stem density (g/cm3),Stem dry mass (g),Leaf dry mass (g),Leaf area (cm2),Leaf thick 1 (mm),Leaf thick 2 (mm),Leaf thick 3 (mm),LMA (g/m2),LDMC (%),WDMC (%),RDMC (%)
47,6,PREMON,27.08409091,0.0944,8.2,48.0848,9.5127,0.6297,0.15,157,329,509.3728814,100.7701271,0.629333333,1663.135593,NA,NA,0.1864,46.9658,0.156,0.163,0.2,39.68845415,0.203271538,NA,0.241432225
47,8,TETBAL,27.08409091,0.683,21.5,178.525,40.0526,0.7141,0.715,548,1503,261.3836018,58.64216691,0.955244755,802.3426061,0.361718161,0.48,1.291,200.4955,0.234,0.188,0.207,64.3904726,0.377927401,0.371804803,0.3621421
47,10,PREMON,27.08409091,0.117,11.24,64.3518,14.0364,0.6943,0.244,184,496,550.0153846,119.9692308,0.479508197,1572.649573,NA,NA,0.245,61.0007,0.12,0.118,0.13,40.16347353,0.202312139,NA,0.223709369
47,12,INGLAU,27.08409091,1.851,26.6,363.872,69.4413,0.6075,1.055,985,2525,196.5813074,37.51555916,1.75450237,532.1447866,0.243190661,1.125,3.177,138.8499,0.194,0.183,0.187,228.808231,0.347631032,0.413602941,0.366244559
47,13,INGLAU,27.08409091,1.6543,38.6,263.3836,57.2637,0.6921,0.991,572,1408,159.2115094,34.61506377,1.669323915,345.7655806,0.211239633,0.9679,2.7949,234.8258,0.175,0.194,0.188,119.0201417,0.380569172,0.411347216,0.38472093
47,14,GUAGUI,27.08409091,0.308,15.42,63.5938,17.5982,0.8809,0.388,110,221,206.4733766,57.13701299,0.793814433,357.1428571,0.282085561,0.211,0.456,163.5641,0.169,0.157,0.17,27.87897833,0.225185185,0.308479532,0.262798635
47,15,GUAGUI,27.08409091,0.2344,15.62,85.6708,21.2014,0.7877,0.418,166,329,365.4897611,90.4496587,0.56076555,708.1911263,0.230718954,0.1412,0.2105,72.6909,0.155,0.149,0.179,28.95823274,0.185136324,0.294166667,0.245188285
47,16,TETBAL,27.08409091,0.25,15.04,113.2591,20.2017,0.5678,0.287,276,750,453.0364,80.8068,0.871080139,1104,0.335724534,0.234,0.532,85.0175,0.184,0.192,0.21,62.57535213,0.428341385,0.347181009,0.329380764
48,1,PREMON,26.49318182,0.083,10.72,38.4419,7.52,0.6227,0.117,105,248,463.1554217,90.60240964,0.709401709,1265.060241,NA,NA,0.146,30.4206,0.148,0.13,0.132,47.99379368,0.190352021,NA,0.237142857
48,2,MANBID,26.49318182,0.0662,7.7,17.4105,4.2482,0.7767,0.082,52,82,262.9984894,64.17220544,0.807317073,785.4984894,0.264010989,0.0961,0.1603,27.7248,0.282,0.259,0.189,57.81827101,0.283215548,0.289457831,0.309345794
