"","Plot","Position","Treatment","Species","Start_LA","Moisture","Densiometer","Status","Days"
"252",16,12,"Drought","PREMON",9.17,23.454545,8.84,0,228
"253",16,13,"Drought","SCHMOR",11.64,23.454545,8.84,1,8
"254",16,14,"Drought","GUAGUI",28.11,23.454545,8.84,1,136
"255",16,15,"Drought","TETBAL",77.8,23.454545,8.84,1,94
"256",16,16,"Drought","MANBID",14.94,23.454545,8.84,0,228
"257",17,1,"Drought","SCHMOR",25.38,30.361364,14.04,1,228
"258",17,2,"Drought","PREMON",8.63,30.361364,14.04,0,228
"259",17,3,"Drought","SCHMOR",14.55,30.361364,14.04,1,17
"260",17,4,"Drought","MANBID",14.33,30.361364,14.04,0,228
"261",17,5,"Drought","INGLAU",122.5,30.361364,14.04,0,228
"262",17,6,"Drought","GUAGUI",25.01,30.361364,14.04,0,228
"263",17,7,"Drought","TETBAL",84.67,30.361364,14.04,1,32
"264",17,8,"Drought","CECSCH",3.52,30.361364,14.04,1,53
"265",17,9,"Drought","UREBAC",7.82,30.361364,14.04,1,87
"266",17,10,"Drought","GUAGUI",23.98,30.361364,14.04,0,228
"267",17,11,"Drought","UREBAC",5.75,30.361364,14.04,1,185
"268",17,12,"Drought","MANBID",16.96,30.361364,14.04,0,228
"269",17,13,"Drought","CECSCH",4.22,30.361364,14.04,1,35
"270",17,14,"Drought","PREMON",5.72,30.361364,14.04,0,228
"271",17,15,"Drought","INGLAU",114.03,30.361364,14.04,0,228
"272",17,16,"Drought","TETBAL",61.58,30.361364,14.04,1,109
"273",18,1,"Drought","MANBID",17.36,15.165909,19.24,0,228
"274",18,2,"Drought","UREBAC",2.71,15.165909,19.24,1,17
"275",18,3,"Drought","PREMON",10.17,15.165909,19.24,1,228
"276",18,4,"Drought","CECSCH",2.67,15.165909,19.24,1,32
"277",18,5,"Drought","CECSCH",2.96,15.165909,19.24,1,136
"278",18,6,"Drought","TETBAL",49.48,15.165909,19.24,1,24
"279",18,7,"Drought","MANBID",20.39,15.165909,19.24,0,228
"280",18,8,"Drought","SCHMOR",18.92,15.165909,19.24,0,228
"281",18,9,"Drought","INGLAU",75.96,15.165909,19.24,1,122
"282",18,10,"Drought","GUAGUI",28.53,15.165909,19.24,1,46
"283",18,11,"Drought","INGLAU",100.19,15.165909,19.24,0,228
"284",18,12,"Drought","UREBAC",3.35,15.165909,19.24,1,35
"285",18,13,"Drought","SCHMOR",9.86,15.165909,19.24,1,32
"286",18,14,"Drought","GUAGUI",27.91,15.165909,19.24,1,46
"287",18,15,"Drought","TETBAL",73.12,15.165909,19.24,1,8
"288",18,16,"Drought","PREMON",10.17,15.165909,19.24,1,46
"289",19,1,"Control","PREMON",7.54,40.947727,7.28,0,228
"290",19,2,"Control","UREBAC",3.99,40.947727,7.28,1,32
"291",19,3,"Control","INGLAU",95.38,40.947727,7.28,0,228
"292",19,4,"Control","CECSCH",3.52,40.947727,7.28,1,32
"293",19,5,"Control","GUAGUI",22.74,40.947727,7.28,0,228
"294",19,6,"Control","INGLAU",80.77,40.947727,7.28,0,228
"295",19,7,"Control","SCHMOR",3.56,40.947727,7.28,1,161
"296",19,8,"Control","TETBAL",74.22,40.947727,7.28,0,228
"297",19,9,"Control","GUAGUI",16.33,40.947727,7.28,0,228
"298",19,10,"Control","UREBAC",3.03,40.947727,7.28,1,83
"299",19,11,"Control","CECSCH",1.83,40.947727,7.28,1,8
"300",19,12,"Control","PREMON",10.08,40.947727,7.28,0,228
"301",19,13,"Control","SCHMOR",6.31,40.947727,7.28,1,185
"302",19,14,"Control","MANBID",14.33,40.947727,7.28,0,228
"303",19,15,"Control","TETBAL",117.93,40.947727,7.28,0,228
"304",19,16,"Control","MANBID",14.74,40.947727,7.28,0,228
"305",20,1,"Control","SCHMOR",9.05,35.336364,6.24,0,228
"306",20,2,"Control","MANBID",16.96,35.336364,6.24,0,228
"307",20,3,"Control","UREBAC",2.23,35.336364,6.24,1,228
"308",20,4,"Control","INGLAU",80,35.336364,6.24,0,228
"309",20,5,"Control","PREMON",8.44,35.336364,6.24,0,228
"310",20,6,"Control","UREBAC",7.34,35.336364,6.24,1,152
"311",20,7,"Control","TETBAL",60.75,35.336364,6.24,0,228
"312",20,8,"Control","SCHMOR",15.36,35.336364,6.24,0,228
"313",20,9,"Control","PREMON",10.44,35.336364,6.24,0,228
"314",20,10,"Control","INGLAU",95.77,35.336364,6.24,0,228
"315",20,11,"Control","GUAGUI",24.39,35.336364,6.24,0,228
"316",20,12,"Control","CECSCH",2.25,35.336364,6.24,1,17
"317",20,13,"Control","MANBID",16.76,35.336364,6.24,0,228
"318",20,14,"Control","GUAGUI",28.32,35.336364,6.24,0,228
"319",20,15,"Control","TETBAL",136.63,35.336364,6.24,0,228
"320",20,16,"Control","CECSCH",1.69,35.336364,6.24,1,17
"321",21,1,"Control","INGLAU",154.03,30.252273,7.54,0,228
"322",21,2,"Control","INGLAU",84.23,30.252273,7.54,0,228
"323",21,3,"Control","GUAGUI",37.83,30.252273,7.54,0,228
"324",21,4,"Control","CECSCH",5.49,30.252273,7.54,1,83
"325",21,5,"Control","SCHMOR",8.57,30.252273,7.54,1,207
"326",21,6,"Control","PREMON",5.63,30.252273,7.54,1,228
"327",21,7,"Control","CECSCH",2.67,30.252273,7.54,1,8
"328",21,8,"Control","UREBAC",3.99,30.252273,7.54,1,228
"329",21,9,"Control","GUAGUI",29.56,30.252273,7.54,0,228
"330",21,10,"Control","UREBAC",1.76,30.252273,7.54,1,46
"331",21,11,"Control","MANBID",17.97,30.252273,7.54,0,228
"332",21,12,"Control","MANBID",16.15,30.252273,7.54,0,228
"333",21,13,"Control","SCHMOR",12.93,30.252273,7.54,1,73
"334",21,14,"Control","TETBAL",47.56,30.252273,7.54,0,228
"335",21,15,"Control","PREMON",7.99,30.252273,7.54,0,228
"336",21,16,"Control","TETBAL",60.2,30.252273,7.54,0,228
"337",22,1,"Drought","SCHMOR",11.16,28.093182,5.2,0,228
"338",22,2,"Drought","UREBAC",2.55,28.093182,5.2,0,228
"339",22,3,"Drought","GUAGUI",39.48,28.093182,5.2,0,228
"340",22,4,"Drought","CECSCH",2.96,28.093182,5.2,1,228
"341",22,5,"Drought","UREBAC",4.79,28.093182,5.2,1,94
"342",22,6,"Drought","PREMON",6.81,28.093182,5.2,0,228
"343",22,7,"Drought","INGLAU",84.04,28.093182,5.2,0,228
"344",22,8,"Drought","MANBID",19.58,28.093182,5.2,0,228
"345",22,9,"Drought","CECSCH",4.65,28.093182,5.2,1,161
"346",22,10,"Drought","MANBID",18.57,28.093182,5.2,0,228
"347",22,11,"Drought","GUAGUI",32.46,28.093182,5.2,0,228
"348",22,12,"Drought","TETBAL",90.72,28.093182,5.2,0,228
"349",22,13,"Drought","PREMON",11.08,28.093182,5.2,0,228
"350",22,14,"Drought","TETBAL",81.65,28.093182,5.2,0,228
"351",22,15,"Drought","INGLAU",118.84,28.093182,5.2,0,228
"352",22,16,"Drought","SCHMOR",10.02,28.093182,5.2,0,228
"353",23,1,"Drought","UREBAC",5.59,13.906818,9.36,1,32
"354",23,2,"Drought","MANBID",17.77,13.906818,9.36,1,102
"355",23,3,"Drought","INGLAU",76.34,13.906818,9.36,0,228
"356",23,4,"Drought","CECSCH",3.24,13.906818,9.36,1,17
"357",23,5,"Drought","PREMON",6.81,13.906818,9.36,1,32
"358",23,6,"Drought","CECSCH",4.22,13.906818,9.36,1,32
"359",23,7,"Drought","TETBAL",66.8,13.906818,9.36,1,32
"360",23,8,"Drought","SCHMOR",16.65,13.906818,9.36,1,17
"361",23,9,"Drought","INGLAU",44.23,13.906818,9.36,0,228
"362",23,10,"Drought","GUAGUI",29.15,13.906818,9.36,1,24
"363",23,11,"Drought","TETBAL",58.55,13.906818,9.36,0,228
"364",23,12,"Drought","UREBAC",2.08,13.906818,9.36,1,17
"365",23,13,"Drought","PREMON",5.63,13.906818,9.36,1,24
"366",23,14,"Drought","GUAGUI",30.39,13.906818,9.36,1,53
"367",23,15,"Drought","SCHMOR",7.11,13.906818,9.36,1,32
"368",23,16,"Drought","MANBID",13.53,13.906818,9.36,1,24
"369",24,1,"Drought","SCHMOR",7.44,13.093182,12.22,0,228
"370",24,2,"Drought","CECSCH",2.96,13.093182,12.22,1,32
"371",24,3,"Drought","CECSCH",2.25,13.093182,12.22,1,24
"372",24,4,"Drought","TETBAL",61.58,13.093182,12.22,0,228
"373",24,5,"Drought","MANBID",16.76,13.093182,12.22,0,228
"374",24,6,"Drought","GUAGUI",21.29,13.093182,12.22,0,228
"375",24,7,"Drought","MANBID",21,13.093182,12.22,0,228
"376",24,8,"Drought","PREMON",6.27,13.093182,12.22,0,228
"377",24,9,"Drought","UREBAC",3.03,13.093182,12.22,1,14
"378",24,10,"Drought","PREMON",12.53,13.093182,12.22,1,87
"379",24,11,"Drought","INGLAU",70.38,13.093182,12.22,0,228
"380",24,12,"Drought","INGLAU",73.65,13.093182,12.22,0,228
"381",24,13,"Drought","TETBAL",101.44,13.093182,12.22,0,228
"382",24,14,"Drought","GUAGUI",23.36,13.093182,12.22,1,35
"383",24,15,"Drought","UREBAC",5.43,13.093182,12.22,1,32
"384",24,16,"Drought","SCHMOR",3.72,13.093182,12.22,1,152
"385",25,1,"Control","PREMON",14.53,39.209091,6.76,0,228
"386",25,2,"Control","INGLAU",81.15,39.209091,6.76,0,228
"387",25,3,"Control","UREBAC",5.27,39.209091,6.76,0,228
"388",25,4,"Control","CECSCH",3.66,39.209091,6.76,1,136
"389",25,5,"Control","GUAGUI",38.66,39.209091,6.76,0,228
"390",25,6,"Control","SCHMOR",8.73,39.209091,6.76,0,228
"391",25,7,"Control","INGLAU",69.8,39.209091,6.76,0,228
"392",25,8,"Control","PREMON",8.63,39.209091,6.76,0,228
"393",25,9,"Control","CECSCH",7.46,39.209091,6.76,1,115
