Plot,Position,Species,Moisture,d15N_RAW,%N,d13C_RAW,%C,d15N_NORMALIZED,d13C_ NORMALIZED,Ci_Lambers,iWUE_Lambers
41,11,MANBID,37.9,-0.453,1.25,9.195,43.7,-1.3,-32,345.1075238,39.30779763
41,15,GUAGUI,37.9,0.203,2.85,4.049,46.76,-0.7,-37,435.9138868,-17.44617927
41,16,TETBAL,37.9,-0.602,1.26,7.688,35.24,-1.5,-33.5,371.7000596,22.68746277
42,5,GUAGUI,18.3,1.898,2.44,4.673,46.7,1,-36.4,424.9027771,-10.56423571
42,7,SCHMOR,18.3,-0.899,1.62,6.018,40.8,-1.8,-35.1,401.1688948,4.269440726
43,6,PREMON,23.7,1.436,1.39,8.797,36.19,0.6,-32.4,352.1306354,34.91835285
46,3,PREMON,20.4,3.22,1.84,8.665,35.42,2.3,-32.5,354.4599086,33.4625571
46,10,SCHMOR,20.4,NA,NA,4.086,40.06,NA,-37,435.2609845,-17.03811531
46,14,GUAGUI,20.4,1.006,2.69,2.559,41.59,0.1,-38.5,462.2064405,-33.87902529
52,6,PREMON,22,0.447,1.34,7.918,35.11,-0.4,-33.3,367.6414775,25.22407658
54,1,PREMON,18.6,0.818,1.18,8.473,34.62,-0.1,-32.7,357.8479424,31.345036
42,11,SCHMOR,18.3,0.344,1.67,7.024,43.72,-0.5,-34.1,383.4170096,15.36436897
3,5,GUAGUI,18.1,4.28,2.07,5.604,43.05,3.4,-35.5,408.4743426,-0.29646414
